,ID,AEP_MW
1741,,
1742,,
1743,,
1744,,
1745,,
1746,,
1747,,
1748,,
1749,,
1750,,
1751,,
1752,,
1753,,
1754,,
1755,,
1756,,
1757,,131.95864217379045
1758,,149.02963095284272
1759,,1738.3886406953625
1760,,7570.297758116543
1761,,6806.473275119493
1762,,1646.6448308144131
1763,,358.1621551097895
1764,,
1765,,
1766,,
1767,,
1768,,
1769,,
1770,,
1771,,
1772,,
1773,,
1774,,
1775,,
1776,,
1777,,
1778,,
1779,,
1780,,
1781,,132.04170473228083
1782,,149.12343899931773
1783,,1739.4828851174639
1784,,7575.062950376516
1785,,6810.757671163696
1786,,1647.6813262672251
1787,,358.38760351140814
1788,,
1789,,
1790,,
1791,,
1792,,
1793,,
1794,,
1795,,
1796,,
1797,,
1798,,
1799,,
1800,,
1801,,
1802,,
1803,,
1804,,
1805,,132.12476729077116
1806,,149.2172470457927
1807,,1740.5771295395652
1808,,7579.828142636487
1809,,6815.042067207898
1810,,1648.717821720037
1811,,358.6130519130267
1812,,
1813,,
1814,,
1815,,
1816,,
1817,,
1818,,
1819,,
1820,,
1821,,
1822,,
1823,,
1824,,
1825,,
1826,,
1827,,
1828,,
1829,,132.20782984926154
1830,,149.31105509226774
1831,,1741.6713739616666
1832,,7584.593334896461
1833,,6819.3264632521
1834,,1649.754317172849
1835,,358.83850031464533
1836,,
1837,,
1838,,
1839,,
1840,,
1841,,
1842,,
1843,,
1844,,
1845,,
1846,,
1847,,
1848,,
1849,,
1850,,
1851,,
1852,,
1853,,132.2908924077519
1854,,149.4048631387427
1855,,1742.7656183837678
1856,,7589.358527156432
1857,,6823.610859296302
1858,,1650.7908126256607
1859,,359.0639487162639
1860,,
1861,,
1862,,
1863,,
1864,,
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,,
1872,,
1873,,
1874,,
1875,,
1876,,
1877,,132.37395496624225
1878,,149.4986711852177
1879,,1743.859862805869
1880,,7594.123719416404
1881,,6827.895255340503
1882,,1651.8273080784725
1883,,359.28939711788246
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,132.4570175247326
1902,,149.59247923169272
1903,,1744.9541072279703
1904,,7598.888911676375
1905,,6832.179651384706
1906,,1652.8638035312847
1907,,359.514845519501
1908,,
1909,,
1910,,
1911,,
1912,,
1913,,
1914,,
1915,,
1916,,
1917,,
1918,,
1919,,
1920,,
1921,,
1922,,
1923,,
1924,,
1925,,132.54008008322296
1926,,149.68628727816773
1927,,1746.0483516500717
1928,,7603.654103936348
1929,,6836.464047428908
1930,,1653.9002989840965
1931,,359.7402939211196
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,,
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,,132.62314264171332
1950,,149.7800953246427
1951,,1747.1425960721726
1952,,7608.41929619632
1953,,6840.748443473109
1954,,1654.9367944369083
1955,,359.96574232273815
1956,,
1957,,
1958,,
1959,,
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,,
1970,,
1971,,
1972,,
1973,,132.70620520020367
1974,,149.8739033711177
1975,,1748.2368404942742
1976,,7613.184488456292
1977,,6845.032839517312
1978,,1655.97328988972
1979,,360.1911907243568
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
